Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
oculos-de-sol-infantil-redondo-multicor-carter-s-2,Óculos de sol infantil redondo multicor | Carter's,"",Carter's,,Roupas Infantis,"bebe, carters, infantil",true,Tamanho,4,,,,,,,,'15752992001,0.0,shopify,10000,deny,manual,47.99,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1001/9530/3702/files/75a539915e669506e6503ed0_2b355e155b.avif?v=1784034684,1,Óculos de sol infantil redondo multicor | Carter's,false,,,,kg,,,active
camiseta-infantil-florzinhas-rosa-carter-s,Camiseta infantil florzinhas - rosa | Carter's,"",Carter's,,Roupas Infantis,"bebe, carters, infantil",true,Tamanho,2,,,,,,,,'16306724001,0.0,shopify,10000,deny,manual,47.94,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1001/9530/3702/files/4335826059b3baf67c8ce269_c4e75f4edc.avif?v=1784034683,1,Camiseta infantil florzinhas - rosa | Carter's,false,,,,kg,,,active
camiseta-infantil-florzinhas-rosa-carter-s,,,,,,,,,3,,,,,,,,'16306724002,0.0,shopify,10000,deny,manual,47.94,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1001/9530/3702/files/6ce70075c0850e7ed042b94e_2fa1bf744c.jpg?v=1784034683,2,Camiseta infantil florzinhas - rosa | Carter's,,,,,kg,,,
camiseta-infantil-florzinhas-rosa-carter-s,,,,,,,,,4,,,,,,,,'16306724003,0.0,shopify,10000,deny,manual,47.94,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1001/9530/3702/files/177636916e5c46e9db85f23c_e2136e5cad.jpg?v=1784034683,3,Camiseta infantil florzinhas - rosa | Carter's,,,,,kg,,,
camiseta-infantil-florzinhas-rosa-carter-s,,,,,,,,,5,,,,,,,,'16306724004,0.0,shopify,10000,deny,manual,47.94,,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1001/9530/3702/files/5422a43a228b7867c1be469e_0f1630f1c2.jpg?v=1784034683,4,Camiseta infantil florzinhas - rosa | Carter's,,,,,kg,,,
camiseta-infantil-arte-branca-carter-s,Camiseta infantil arte - branca | Carter's,"<p>Divertida e cheia de cor, a Camiseta infantil arte - branca | Carter's traz uma proposta criativa perfeita para o dia a dia das pequenas. Com modelagem relaxed, oferece um caimento soltinho e confortável, ideal para acompanhar as brincadeiras com liberdade. A estampa colorida inspirada no universo da arte, com pincel e tintas, adiciona um toque lúdico e alegre ao visual. As mangas com babados completam a peça com delicadeza e charme. Combine com shorts, saias ou leggings e finalize com tênis ou sandálias para um look leve e encantador.</p>
<p><strong>Características:</strong><br>
• Marca: Carter's<br>
• 100% Algodão<br>
• Modelagem relaxed<br>
• Gola redonda<br>
• Mangas curtas com babados<br>
• Estampa colorida<br>
• Barra tradicional</p>
<p>A Carter’s é a marca líder em roupas infantis, presentes e acessórios, com lojas espalhadas por todo o mundo. Cada produto é feito com o máximo de qualidade e cuidado, pensado nos mínimos detalhes para garantir que os pequenos estejam sempre confortáveis, do cochilo da tarde ao passeio no fim do dia. Pode contar com a Carter’s para cuidar dos pequenos detalhes, enquanto você se concentra no que realmente importa: celebrar a sua criança com abraços, mimos, risadas e memórias que aquecem o coração.</p>",Carter's,,Roupas Infantis,"bebe, carters, infantil",true,Tamanho,2,,,,,,,,'16306759001,0.0,shopify,10000,deny,manual,47.94,69.99,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1001/9530/3702/files/e672e22a5f2f585d93ac8b15_f50bc028a4.avif?v=1784034682,1,Camiseta infantil arte - branca | Carter's,false,,,,kg,,,active
camiseta-infantil-arte-branca-carter-s,,,,,,,,,3,,,,,,,,'16306759002,0.0,shopify,10000,deny,manual,47.94,69.99,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1001/9530/3702/files/f14c6479c087c3ce34e5057a_508561a56c.jpg?v=1784034682,2,Camiseta infantil arte - branca | Carter's,,,,,kg,,,
camiseta-infantil-arte-branca-carter-s,,,,,,,,,4,,,,,,,,'16306759003,0.0,shopify,10000,deny,manual,47.94,69.99,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1001/9530/3702/files/b423b8a5f35cfde1190356bd_c36514c570.jpg?v=1784034682,3,Camiseta infantil arte - branca | Carter's,,,,,kg,,,
camiseta-infantil-arte-branca-carter-s,,,,,,,,,5,,,,,,,,'16306759004,0.0,shopify,10000,deny,manual,47.94,69.99,true,false,,,,,"",https://cdn.shopify.com/s/files/1/1001/9530/3702/files/651c9858c171313ee64cec16_4b6314dc74.jpg?v=1784034682,4,Camiseta infantil arte - branca | Carter's,,,,,kg,,,
camiseta-infantil-arte-branca-carter-s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",https://cdn.shopify.com/s/files/1/1001/9530/3702/files/1b6519940a788b8cd0833f40_22d2256c45.jpg?v=1784034682,5,Camiseta infantil arte - branca | Carter's,,,,,,,,
